code,name
4,Tamatea
6,Whalers Gate
11,Somerville
13,Springfield
15,Mangapakeha
16,Matokitoki
23,Papakowhai
26,Fernhill
27,Mataura
28,Mangawhai
30,Wairau Valley
35,Pandora
37,Saint Clair
38,Wellsford
41,Windwhistle
43,Tauranga South
45,Paparangi
46,Acacia Bay
49,Tapu
53,New Plymouth Central
54,Rongotea
56,Kohukohu
59,Kinloch
60,Blaketown
63,Surfdale
64,Dalmore
65,Tokomaru
66,Hokowhitu
69,Flat Bush
73,Kairanga
75,The Cove
77,Bethells Beach
78,Islington
80,Te Whiti
81,Ahaura
82,Kaiwharawhara
84,Westbrook
85,Parklands
86,Cable Bay
88,Pohangina
89,Saint Heliers
91,Kilbirnie
93,Pyramid Valley
97,Awatoto
103,Whenuapai
112,Matarangi
113,Redcliffs
116,Ilam
119,Titirangi
120,Kerikeri
121,Gracefield
122,New Lynn
127,Pyes Pa
135,Waianakarua
136,North East Valley
137,Raureka
138,Kakatahi
139,Clouston Park
141,Waitahanui
142,One Tree Point
144,Takapuna
145,Tauhoa
147,Te Rapa Park
148,Waiwhetu
153,Avondale
155,Taupaki
156,Woodlands
159,Tapora
161,Whangateau
162,Foxton
167,Mauku
168,Pakuranga
169,Pongakawa
170,Kensington
171,Te Kohanga
172,Highcliff
173,Breaker Bay
177,Tiraumea
178,Ohingaiti
181,Woodstock
183,Te Aro
184,South Dunedin
185,Styx
188,Whanganui East
189,Waikuku Beach
190,Shirley
197,Camberley
198,Kimbolton
203,Milford
206,Totara Park
208,Island Bay
215,Ohauiti
216,Whanganui Central
221,Netherby
223,Leamington
224,Saint Martins
232,Swanson
234,Stag And Spey
237,Kaikohe
239,One Tree Hill
240,Rakino Island
241,Rothesay Bay
242,Riversdale
245,Kohimarama
247,Forbury
248,Blairlogie
249,Pirimai
250,Harbour View
255,Karitane
256,Red Hill
257,Tennyson Inlet
263,Paraparaumu Beach
264,Hilltop
266,Cashmere
268,Parua Bay
269,Ashhurst
273,Mangere Bridge
281,Upper Riccarton
282,Koitiata
284,Greymouth
287,Gonville
291,Clendon Park
292,Okere Falls
293,Pine Hill
295,Southbridge
296,Haumoana
304,Mairehau
306,Tuahiwi
312,Kiripaka
314,Clifton
315,Kawakawa Bay
320,Makarau
323,Snells Beach
324,Corsair Bay
330,Waihi
336,Birchville
339,Shiel Hill
341,Three Kings
343,Otaio
347,Woodhill Forest
357,Judea
360,Beachlands
361,Otamatea
364,Onewhero
371,Waikaka
373,Aria
374,Burleigh
377,Woolwich
378,Greenmeadows
379,Strathmore Park
383,Horotiu
387,Tai Tapu
388,Napier Port
392,Wairoa
397,Saint Johns
398,Hillsborough
399,Cable Bay
401,Paengaroa
402,Makarewa
404,Whakatete Bay
406,Karori
407,Coutts Island
408,Bombay
411,Tikorangi
412,Takaro
413,Wilton
416,Pukerua Bay
428,Churton Park
430,Coal Creek
436,Hurdon
440,Glenview
442,Ryal Bush
443,Maori Hill
444,Point Wells
451,Lake Coleridge
452,Avondale
454,Calton Hill
455,Coastlands
456,Atarau
457,Cornwallis
458,Tuakau
461,Glenside
462,Parakai
464,Huntington Park
466,Berwick Forest
468,Eastern Beach
469,Ruawai
470,Howick
471,Huntsbury
473,Tamarau
479,Plimmerton
486,Chartwell
491,Brockville
492,Tamaterau
496,Highland Park
498,Blagdon
499,Aka Aka
508,Washington Valley
509,Hillcrest
511,Patutahi
517,Sandspit
518,Waitakaruru
519,Moutoa
521,Nukutawhiti
524,Te Kowhai
525,Meremere
528,Nukuhau
532,Saint Albans
545,Maungatapu
547,Woodbourne
549,Southgate
552,Cass Bay
553,Mangatangi
555,Opito Bay
557,Appleby
574,North New Brighton
580,Halfway Bush
584,Northcote Point
589,Mount Roskill
